grin_accession,flower_color,height,hilum_color,lodging,maturity_group,oil,protein,pubescence_color,seed_quality,seed_weight,yield
PI157468,W,86,Gn,4.2,IV,20.5,40.2,T,2.5,17.8,2.5
PI157469,P,52,Y,1.5,VI,21.25,43.8,G,2.8,21,0.99
PI157470,P,56,Bf,3,V,19.15,46.1,G,3.5,20.4,2.05
PI157471,P,86,Y,4.5,IV,17.5,43,G,2.5,20.8,2.99
PI157472,P,61,Y,4,IV,18.7,45.6,G,2.5,24.3,2.17
PI157473,P,131,Gnbr,4,V,19.2,46.65,T,3.8,17.4,1.15
PI157474,P,81,Y,3.6,IV,18.3,43.5,G,2.3,21.2,2.48
PI157475,P,52,Br,1,VI,16.7,43.3,T,2.3,5.9,0.41
PI157476,P,142,G,4.5,VI,16.6,43.8,G,2.5,15.7,0.36
PI157477,P,81,Y,3.5,IV,17.5,45.1,G,2.8,25.8,2.02
PI157478,P,50,Br,2.5,V,19.55,45.25,T,2.8,11.8,0.88
PI157482,P,91,Y,3.7,IV,18.3,43.7,G,3.3,24.9,2.3
PI157483,P,112,Br,3.3,IV,19.5,43.1,T,2,22,2.45
PI157484,W,65,Bf,3.5,V,19.6,44,G,2.5,11.9,1.57
PI157485,P,109,Bf,3.7,IV,17.6,44,G,2.3,19.8,3.06
PI157487A,W,128,Bf,3,VI,17.3,46.6,G,2,9.9,0.95
PI157487B,W,109,Bf,4.3,IV,19.2,44.9,G,2.8,18.1,2.87
PI157488,W,100,Bf,2,VI,19.2,43.2,G,2,14.8,1.12
PI157490,P,79,Y,3.9,IV,18.9,43.3,G,2.3,20.7,2.39
PI157491,W,86,Y,2.2,III,19.3,43.4,G,2.3,20.5,2.43
PI157492,P,127,Bl,4.5,IV,17.3,43.4,T,2.5,7.7,1.84
PI157493,P,50,Br,2,V,18.9,48.5,T,2,14.6,1.84
PI158751,P,61,Bf,2.5,V,18.3,48.45,G,2.5,14.5,2.12
PI158765,P,107,Ib,4.3,IV,18.5,43.2,G,2.5,18.6,2.64
PI159093,W,115,Bf,3,VII,17.45,44.15,G,3.5,14.1,1.57
PI159094,P,124,Bf,4,VII,17.05,45.65,G,2.5,9.6,1.91
PI159095,W,96,Bf,4,VII,17.7,45.5,G,3,13.8,1.48
PI159096,P,80,Ib,2.5,VII,20.15,44.9,G,3.3,15.5,1.18
PI159097,W,109,Y,4,VII,17.6,43.6,G,2.8,12.5,1.48
PI159319,W,90,Y,3.5,V,18.5,42.1,G,3.3,13.1,0.25
PI159321,W,109,Y,3.5,VI,19.35,45.6,G,2.3,11.7,0.28
PI159322,W,127,Y,4,VI,18.3,46,G,2.5,12.6,1.34
PI159764,P,51,Bl,1.5,0,15.7,52.6,T,4,20,0.67
PI159922,P,216,Bl,5,VIII,16.2,44.8,T,3.3,11.3,1.25
PI159923A,P,71,Y,1,VI,19.6,45.7,G,2.3,16,1.29
PI159923B,Dp,79,Y,3.9,IV,20,40.5,G,2.5,20.9,2.58
PI159924,P,169,Br,4,VIII,16,46.9,T,3,14.8,1.35
PI159925,W,131,Bf,2.5,VIII,15.8,45.5,G,3.3,16.5,0.99
PI159926,P,166,Bl,5,VIII,16.3,43.1,T,2.5,9.6,0.92
PI159927,W,159,Bf,3,VIII,15,46.1,G,3.5,13.8,1.15
PI161431A,W,64,Y,2.5,0,17.9,42.4,T,2.5,18.6,1.26
PI161431B,W,58,Br,3,0,17.1,43.1,T,2.5,15,1.01
PI161988,P,79,Br,3.5,0,19.3,40,T,3,11.5,2.13
PI161989,P,79,Br,3.5,0,19.25,43.1,T,2.5,15.9,2.19
PI163308,P,NA,Br,NA,X,NA,NA,T,NA,NA,NA
PI163453,P,NA,Bl,NA,VII,12,44.7,T,NA,NA,NA
PI164885,P,159,Bl,5,VIII,12.9,47.1,T,2.8,6.8,0.46
PI165524,P,163,Bl,NA,IX,18.75,43.65,T,2,8.3,NA
