Cultivar,PI_Num
AG0231,NA
Ag03-1,NA
Ag03-3,NA
AG0532,NA
AG0536,NA
AG0801,PI 612954
AG0808,NA
AG0832,NA
AG0835,NA
AG0901,PI 606073
AG1101,PI 612940
AG1135,NA
AG1230,NA
AG1234,NA
AG1301,PI 612938
AG1601,PI 612949
AG1631,NA
AG1733,NA
AG1901,PI 598063
AG2001,PI 612948
AG2031,NA
AG2101,PI 598062
AG2201,PI 606080
AG2301,PI 598053
AG2401,PI 598065
AG2501,PI 598052
AG2535,NA
AG2601,PI 612951
AG2602,PI 612950
AG2606,NA
AG2702,PI 598058
AG2902,PI 606076
AG2903,NA
AG3002,PI 598054
AG3003,PI 612942
AG3201,NA
AG3302,PI 606072
AG3303,PI 612944
AG3334,NA
AG3502,PI 606078
AG3504,NA
AG3702,PI 612943
AG3803,NA
AG3832,NA
AG3901,PI 606084
AG4005,NA
AG4033,NA
AG4034,NA
AG4101,PI 612945
AG4232,NA
AG4301,PI 606082
AG4402,PI 612946
AG4501,NA
AG4602,PI 606081
AG4702,PI 598056
AG4901,PI 598055
AG4902,PI 612941
AG5001,PI 612937
AG5401,PI 606071
AG5602,PI 598060
AG5701,PI 612947
AG5802,PI 606075
AG6201,PI 612952
AG6701,PI 612953
Agassiz,PI 562372
AGF26601,NA
AGH33701,NA
AGK23603,NA
AGK26602,NA
AgraTech AT 550,PI 562375
AgraTech At 555,PI 583359
AgraTech AT 575,PI 562376
AgraTech AT550,PI 562375
AgriPro 25,NA
AgriPro 26,NA
AgriPro 27,NA
AgriPro 35,NA
Agripro 68-1016,NA
AgriPro 98180-A01-0613,NA
Agripro 98620-B01-51163,NA
AgriPro AP01-5,NA
AgriPro AP02-01,NA
AgriPro AP02-05,NA
AgriPro AP02-07,NA
AgriPro AP03-01,NA
AgriPro AP03-03,NA
AgriPro AP03-04,NA
AgriPro AP03-05,NA
AgriPro AP03-06,NA
AgriPro AP1235,NA
AgriPro AP1490N,NA
AgriPro AP1953,NA
AgriPro AP1989,NA
AgriPro AP1995,NA
AgriPro AP200,NA
AgriPro AP2190,NA
AgriPro AP225C,PI 556575
AgriPro AP26,NA
AgriPro AP2918,NA
AgriPro AP3035,NA
AgriPro AP3355,NA
AgriPro AP35,NA
AgriPro AP4882,NA
AgriPro AP93652-P96-55048,NA
AgriPro AP95341-A98-60618,NA
AgriPro AP96289-A99-31240,NA
AgriPro AP96596-B99-24476,NA
AgriPro AP97023-A99-03284,NA
AgriPro AP97026-N99-42648,NA
AgriPro AP97144-A00-15133,NA
AgriPro AP97144-A00-19136,NA
AgriPro AP97199-A00-10391,NA
AgriPro AP97284-N00-47977,NA
AgriPro AP97611-B00-37197,NA
AgriPro AP98180-A01-06131,NA
AgriPro AP98194-A01-27440,NA
AgriPro AP98620-B01-51163,NA
AgriPro AP98633-B01-44373,NA
AgriPro AP99022-A01-1228,NA
AgriPro APX04-76-6,NA
AgriPro APXC2284N,NA
AgriPro B99-17498,NA
Agripro Ex 7710,PI 556485
Agripro HP 20-20,PI 556604
Agripro HP 2530,PI 556677
AgriPro X01138P77,NA
AgriPro X991A25,NA
AgriPro XC21Y07,NA
AgriPro XC29B34,NA
AgriPro XC31Y31,NA
AgriPro XC32Y06,NA
Agripro96289-A99-31240,NA
Agripro96596-B99-24476,NA
AGS-738RR,NA
AgSouth AGS606RR,NA
AgSouth AGS738RR,NA
