Female,Male,Cultivar
ZB27U04,YB30G05,PI 665325
Pioneer P92B12,Pioneer P93M11,PI 665327
DFN3206D0R,FN3305A1-G0AAC,PI 671817
ZB23G05,Pioneer P92Y30,PI 661044
Pioneer P92M54,RJS28004,PI 665329
Pioneer P93Y11,Pioneer P92Y80,PI 668282
270630-30,CP3307A4-D0YN,PI 671818
YB30A05,Pioneer P92M61,PI 661042
Pioneer P92M54,Pioneer P93M11,PI 665331
Pioneer P92Y30,ZB31B07,PI 665332
Pioneer P92M54,Pioneer P93M11,PI 665334
Pioneer P92M61,Pioneer P92M91,PI 660224
Pioneer P93Y11,Pioneer P92Y80,PI 668284
COX2705Y2R,FN3407E1-D0YN,PI 671819
Pioneer P92Y80,Pioneer P93Y13,PI 668285
67185166,JW3107C4-B0YN,PI 671820
XB25S05,Pioneer P93B09,PI 660221
Pioneer P92Y80,Pioneer P93Y40,PI 668286
Pioneer P93M42,EX33M07,PI 661039
Pioneer P92M40,Pioneer P93M90,PI 660219
XB29K04,JH4603324,PI 660161
SP3799102,Pioneer P92M75,PI 660160
YB30A05,Pioneer P92M91,PI 660159
Pioneer P92Y82,Pioneer P93Y13,PI 668287
Pioneer P93M61,RJS34001,PI 668288
Pioneer P93B86,XB21R05,PI 660158
EX35B06,Pioneer P93Y20,PI 665336
Pioneer P93M61,Pioneer P92Y80,PI 668289
YB35R05,Pioneer P92M81,PI 661038
Pioneer P93Y02,Pioneer P93Y20,PI 665337
Pioneer P92M54,Pioneer P93M11,PI 665338
Pioneer P93Y70,Pioneer P93Y02,PI 668290
Pioneer P93M61,RJS34001,PI 668291
Pioneer P93Y70,Pioneer P93Y12,PI 668292
Pioneer P93M61,Pioneer P93Y20,PI 668294
Pioneer P92Y80,Pioneer P93Y20,PI 668295
Pioneer P93Y11,Pioneer P93Y02,PI 668296
Asgrow A2442,(DKB36-52 *MON89788),PI 671821
YB38F03,Pioneer P93B68,PI 660154
YB30K06,EX32K06,PI 668297
Pioneer P93M61,Pioneer P93Y02,PI 668298
DOX3306C0R,(AFN3105P0R*MON89788),PI 671822
YB31J06,Pioneer P93Y11,PI 665341
Pioneer P93Y40,Pioneer P94Y01,PI 668299
CBL3705N1R,BL3308A2-D0YN,PI 671823
Pioneer P92M91,Pioneer P93M51,PI 660153
BL3308H5-B0YN,JW3107C4-B0YN,PI 671824
Pioneer P93Y70,Pioneer P93Y02,PI 665340
Pioneer P93M61,Pioneer P92M91,PI 661033
Pioneer P93M61,Pioneer P93Y20,PI 668300
Pioneer P93Y92,Pioneer P93Y04,PI 668301
Pioneer P92M40,Pioneer P93M90,PI 660152
CBL3705N1R (2),(Asgrow A3525*MON89788),PI 671825
CBL3705N1R,BL3308A2-D0YN,PI 671826
CBL3705N1R,CP3408A4-D0YN,PI 671827
Pioneer P93M61,Pioneer P94Y70,PI 668302
Pioneer P93M61,DP17145891,PI 668303
Pioneer P93M61,RJS34002,PI 668304
ABL3705N0R,BL3407D3-D0YN,PI 671828
Pioneer P93B68,Pioneer P93M11,PI 660151
Pioneer P93Y80,RJS34002,PI 668305
Pioneer P93M61,RJS34001,PI 665343
Pioneer P93M61,Pioneer P93M42,PI 660214
Pioneer P93M61,RJS34001,PI 665344
Pioneer P93M42,RJS34002,PI 665345
Pioneer P93M52,Pioneer P93Y70,PI 668306
ABL3705N0R,CP3407B6-D0YN,PI 671829
FN3207N2-D0RN,OX3407C5-D0YN,PI 671830
AG3802RR2YBC2,(009777--06*AG3602RR2YBC2),PI 671831
Pioneer P93M11,Pioneer P94Y20,PI 661030
YB38Q05,YB42V04,PI 660212
Pioneer P93B86,Pioneer P93M52,PI 660211
CBL3705N1R,CP3408A4-D0YN,PI 671832
CBL3705N1R (2),(Asgrow A3525*MON89788),PI 671833
Pioneer P93M52,YB42V04,PI 660210
Pioneer P93M61,Pioneer P94Y30,PI 668307
Pioneer P94M50,XB41B05,PI 660209
3041620-29,(AG4403 (2)*MON89788),PI 671834
Pioneer P93Y80,Pioneer P94Y01,PI 668308
Pioneer P93M90,XB43W04,PI 660208
Pioneer P94Y30,XB40H09,PI 668309
RJS39003,Pioneer P94Y90,PI 668310
Pioneer P93M90,Pioneer P93M11,PI 660006
Pioneer P93M61,Pioneer P94Y20,PI 661028
YB44F06,Pioneer P94M30,PI 665347
Pioneer P94M30,Pioneer P93B85,PI 660207
CBL3705N1R,(AG4404*(AG4703*(AG4404*MON89788))),PI 671835
RJS39003,Pioneer P94Y60,PI 665350
Pioneer P92Y72,Pioneer P94Y70,PI 668311
Pioneer P94Y80,Pioneer P94Y01,PI 668312
RJS39003,Pioneer P94Y70,PI 668313
Pioneer P94M80,Pioneer P93M11,PI 665352
Pioneer P94Y70,HL17619014,PI 668314
XB39W06,Pioneer P94Y70,PI 668315
EX53F03,Pioneer P94M90,PI 660248
GL5007A3-A0XN,GL4008D9-B0YN,PI 671836
EX53F03,Pioneer P94M70,PI 660250
EX53P06,Pioneer P95Y40,PI 668316
Pioneer P95B43,Pioneer P95M60,PI 668317
Pioneer P95Y40,YB53Q06,PI 668318
Pioneer P93B86,G00167G017,PI 665362
Pioneer P95Y41,Pioneer P95M50,PI 668319
DPL 6568RR,(Manokin*(S91-1839*(H7550*MON89788))),PI 671837
NC7407A1-D0RN,(NC-Raleigh*(CMA5901C0C*MON89788)),PI 671838
CNC7406A0R,(NC-Raleigh*(CMA5901C0C*MON89788)),PI 671839
G00450T009,XB57M04,PI 660246
Vmax,YB83L06,PI 666950
Pioneer P97B52,Pioneer P97M50,PI 665365
Vmax,YB83L06,PI 666949
Piraiba,Pioneer P95M80,PI 666948
CD217,Pioneer P98Y11,PI 669559
XB79A05,Z00154Z065,PI 664261
XB79A05,Pioneer P98Y51,PI 664260
Matrinxa,Pioneer P95M80,PI 666947
Matrinxa,Pioneer P95M80,PI 666946
Matrinxa,Pioneer P95M80,PI 666943
XB74A09,Z01103Z265,PI 668320
Matrinxa,Pioneer P95M80,PI 666945
Unspecified,Unspecified,PI 666944
Jiripoca,Pioneer P98Y51,PI 666942
CD217,Pioneer P98Y51,PI 666956
MT99-33114,XB88K06,PI 669558
RJS00001,XB06M07,PI 668321
RF5100790,Pioneer P90M92,PI 668322
Pioneer P90M80,YB09P05,PI 665368
XB33N06,Pioneer P90M60,PI 665369
Pioneer P92M22,YB12M06,PI 668323
ZB08Q06,Pioneer P90M92,PI 668324
Pioneer P90M92,Pioneer P90Y41,PI 668325
Pioneer P92M35,Pioneer P90M92,PI 668326
Pioneer P91M80,Pioneer P92M61,PI 668327
Pioneer P92Y21,Pioneer P92Y10,PI 668328
XB19V06,YB22R06,PI 665373
Pioneer P92M54,Pioneer P92Y30,PI 668329
Pioneer P92Y30,Pioneer P93Y40,PI 668330
Pioneer P92Y30,RJS25003,PI 668331
Pioneer P92Y30,YB21D06,PI 668332
YB30A05,XB32C05,PI 668333
Pioneer P92Y51,Pioneer P92Y30,PI 668334
Pioneer P93M61,Pioneer P92Y80,PI 668335
Pioneer P94Y80,Pioneer P94Y01,PI 668342
Pioneer P94B73,XB48W07,PI 665389
Pioneer P94Y60,Pioneer P94Y70,PI 668343
Pioneer P95Y41,Pioneer P95M50,PI 668344
C1253,Kent,PI 548688
Wayne,Habaro 95,PI 556470
Cayuga X Chippewa 64 �48,NA,PI 556472
Wayne,T93A,PI 556471
Unspecified,Unspecified,PI 540455
Pioneer P90M20,JH13885038,PI 660136
ZB08Q06,JH14820789,PI 660137
Pioneer P90M60,JH11944941,PI 660138
ZB08Q06,JH14820789,PI 660254
SP14847007,Pioneer P92Y20,PI 665396
Pioneer P93M13,SP11513488,PI 660162
Pioneer P93M13,SP11513488,PI 660199
Pioneer P92Y61,Pioneer P92Y80,PI 665397
Unspecified,Unspecified,PI 660139
Pioneer P93Y11,LP15796828,PI 660140
Pioneer P92Y61,Pioneer P93Y92,PI 668345
Pioneer P93Y11,LP15796828,PI 660141
Pioneer P93Y11,LP24380127,PI 668346
Pioneer P93Y11,LP15796828,PI 660142
Pioneer P93Y11,LP15796828,PI 660144
Pioneer P93Y11,LP15796828,PI 660143
Unspecified,Unspecified,PI 660145
YB30K06,SP11513497,PI 660202
Pioneer P93Y82,Pioneer P93Y30,PI 668347
Pioneer P93Y20,SP16410155,PI 661994
Pioneer P93Y20,YR34C09,PI 668348
YB30K06,SP11513497,PI 660055
Unspecified,Unspecified,PI 660146
YB30K06,SP11513497,PI 660203
Pioneer P93Y11,LP15796828,PI 660147
Pioneer P93M61,YR34C09,PI 668349
YB30K06,SP11513497,PI 660204
YB30K06,SP11513497,PI 660205
Pioneer P93Y11,LP15796828,PI 660135
Pioneer P93B86,JH14820720,PI 660148
Pioneer P93B86,JH14820720,PI 660149
Pioneer P93B86,JH14820720,PI 660150
Pioneer P92Y61,Pioneer P93Y40,PI 668350
XB30N08,SP21045463,PI 668351
Unspecified,Unspecified,PI 678843
Nema Shirazu,Nangun Takedate,PI 594243
Geden Shirazu,NA,PI 594231
Unspecified,Unspecified,PI 594228
Introduction,NA,PI 88818
Williams 82 (2),PI 89772,GP-164
Williams 82 (2),PI 89772,PI 574542
A95-485020,IA2036,A00-711024
IA2064,XB27U01,A02-381100-1538
IA2064,XB27U01,A02-381100-1539
Unspecified,Unspecified,A03-841045
Unspecified,Unspecified,A03-946006
Pioneer P92B12,A00-711042,A04-543043
Unspecified,Unspecified,A06-915014
IA2078,Syngenta WW221162,A09-753035
IA3042,A04-543043,A09-754003
IA3042,IA3028,A09-755015
A06-915014,Syngenta 04KL015644,A10-456040
IA3042,Syngenta 03JR321086,A10-555001
IA3026,Syngenta 04KL015644,A10-556015
IA3042,Syngenta 03JR321086,A10-653019
Unspecified,Unspecified,A14743B002
Pioneer P9241,Jack,A95-583021
OT80-18,X875-2-B-1,AC Orford
Unspecified,Unspecified,AG0231
Unspecified,Unspecified,AG0532
Unspecified,Unspecified,AG0808
Unspecified,Unspecified,AG1230
Unspecified,Unspecified,AG1631
